"clue","answer","pg"
"Term for proper way to end routine","dismount","http://www.j-archive.com/suggestcorrection.php?clue_id=283342"
"Profession of TV's new Paper Dolls","models","http://www.j-archive.com/suggestcorrection.php?clue_id=283346"
"Captain who took his submarine Twenty Thousand Leagues Under the Sea","Captain Nemo","http://www.j-archive.com/suggestcorrection.php?clue_id=283323"
"A 12/15/41 Army order moved it from Pasadena, CA to Durham, NC","Rose Bowl game","http://www.j-archive.com/suggestcorrection.php?clue_id=283334"
"JFK's PT boat","109","http://www.j-archive.com/suggestcorrection.php?clue_id=283338"
"The weather when it's cold & stormy","inclement","http://www.j-archive.com/suggestcorrection.php?clue_id=283329"
"1st appeared in '36 Olympics, created by changing level of one of its parts","uneven parallel bars","http://www.j-archive.com/suggestcorrection.php?clue_id=283343"
"He's the Finder of Lost Loves","Tony Franciosa","http://www.j-archive.com/suggestcorrection.php?clue_id=283347"
"Oscar Wilde's picture perfect protagonist","Dorian Gray","http://www.j-archive.com/suggestcorrection.php?clue_id=283324"
"In 1948 this city's mayor, William O'Dwyer, submitted a $1 billion budget","New York City","http://www.j-archive.com/suggestcorrection.php?clue_id=283335"
"California goal rushers","49ers","http://www.j-archive.com/suggestcorrection.php?clue_id=283339"
"A perpetual patient","invalid","http://www.j-archive.com/suggestcorrection.php?clue_id=283330"
"Only international gymnastic event which doesn't use any apparatus","floor exercise","http://www.j-archive.com/suggestcorrection.php?clue_id=283344"
"Fall show that makes widows on 1st weeknight evenings","<i>Monday Night Football</i>","http://www.j-archive.com/suggestcorrection.php?clue_id=283348"
"Mrs. Hamilton, Mrs. Kennedy, & Mrs. Butler, but never Mrs. Wilkes","Scarlett O'Hara","http://www.j-archive.com/suggestcorrection.php?clue_id=283325"
"Journalism's numerical nickname","fourth estate","http://www.j-archive.com/suggestcorrection.php?clue_id=283340"
"What a hen does when she sits on her eggs","incubate","http://www.j-archive.com/suggestcorrection.php?clue_id=283331"
"To the nearest inch, the width of a balance beam","4 inches","http://www.j-archive.com/suggestcorrection.php?clue_id=283345"
"Hotel's fictional Hotel","St. Gregory","http://www.j-archive.com/suggestcorrection.php?clue_id=283349"
"Oldest of the 13 colonies, site of Jamestown","Virginia","http://www.j-archive.com/suggestcorrection.php?clue_id=283350"
"Charles Elmer Hires began making & distributing this new drink in 1877","root beer","http://www.j-archive.com/suggestcorrection.php?clue_id=283355"
"40% of all water used in U.S. is used for this farming activity","irrigation","http://www.j-archive.com/suggestcorrection.php?clue_id=283366"
"John Brown's Body was inspiration for this Julia Ward Howe song","""The Battle Hymn of the Republic""","http://www.j-archive.com/suggestcorrection.php?clue_id=283357"
"Movie that ends with Rick predicting the beginning of a beautiful friendship","<i>Casablanca</i>","http://www.j-archive.com/suggestcorrection.php?clue_id=283358"
"In 1691 Plymouth Colony was absorbed by this colony","Massachusetts Bay Colony","http://www.j-archive.com/suggestcorrection.php?clue_id=283351"
"In 1873 Andrew Halladie invented this way to get around San Francisco","cable car","http://www.j-archive.com/suggestcorrection.php?clue_id=283356"
"Farming's itinerant labor force","migrant workers","http://www.j-archive.com/suggestcorrection.php?clue_id=283367"
"Sgt. Barry Sandler's '66 hit became unofficial Viet War anthem","""Ballad of the Green Berets""","http://www.j-archive.com/suggestcorrection.php?clue_id=283368"
"He bid goodnight to Mrs. Calabash, wherever you are","Jimmy Durante","http://www.j-archive.com/suggestcorrection.php?clue_id=283359"
"To keep peace with Indians, British forbade colonial settlement west of these mts.","Appalachians","http://www.j-archive.com/suggestcorrection.php?clue_id=283352"
"Pasteur's pasteurization process was 1st developed for this drink","wine","http://www.j-archive.com/suggestcorrection.php?clue_id=283363"
"Though never over there, he got a Cong. Medal of Honor for writing Over There","George M. Cohan","http://www.j-archive.com/suggestcorrection.php?clue_id=283369"
"Average lifespan for mayflies","1 day","http://www.j-archive.com/suggestcorrection.php?clue_id=283372"
"Novel in which Sydney Carton finds a far, far better rest than I have ever known","<i>A Tale of Two Cities</i>","http://www.j-archive.com/suggestcorrection.php?clue_id=283360"
"Unusual physical characteristic of New Netherlands Governor Peter Stuyvesant","wooden leg","http://www.j-archive.com/suggestcorrection.php?clue_id=283353"
"Albert Einhorn was the Albert Einstein who created this local anesthetic","Novocain","http://www.j-archive.com/suggestcorrection.php?clue_id=283364"
"Title of this official song of the U.S. Marine Corps: From the Halls of Montezuma / To the shores of Tripoli / We fight our country's battles / In the air, on land, and sea...","""The Marines' Hymn""","http://www.j-archive.com/suggestcorrection.php?clue_id=283370"
"Sensory organs located almost anywhere, but never on an insect's head","ears","http://www.j-archive.com/suggestcorrection.php?clue_id=283373"
"Arthur's partner who advised each week, Put a little fun in your life - try dancing","Kathryn Murray","http://www.j-archive.com/suggestcorrection.php?clue_id=283361"
"Zenger case in colonial New York helped strengthen this freedom","freedom of the press","http://www.j-archive.com/suggestcorrection.php?clue_id=283354"
"In 1856 H.L. Lipman was 1st to connect these two items for people who make mistakes","pencil & eraser","http://www.j-archive.com/suggestcorrection.php?clue_id=283365"
"What British hoped to see flying over the white cliffs of Dover at end off WWII","bluebirds","http://www.j-archive.com/suggestcorrection.php?clue_id=283371"
"Every year, $5 bil. worth of crops benefit from this insect activity","pollination","http://www.j-archive.com/suggestcorrection.php?clue_id=283374"
"Her best line was I have always depended on the kindness of strangers","Blanche DuBois","http://www.j-archive.com/suggestcorrection.php?clue_id=283362"
"=","=","http://www.j-archive.com/suggestcorrection.php?clue_id=283488"
"=","=","http://www.j-archive.com/suggestcorrection.php?clue_id=283489"
"=","=","http://www.j-archive.com/suggestcorrection.php?clue_id=283490"
"=","=","http://www.j-archive.com/suggestcorrection.php?clue_id=283491"
"=","=","http://www.j-archive.com/suggestcorrection.php?clue_id=283492"
"Useful insects raised in apiaries","bees","http://www.j-archive.com/suggestcorrection.php?clue_id=283509"
"This playwright didn't use his home state of Mississippi for his pen name","Tennessee Williams","http://www.j-archive.com/suggestcorrection.php?clue_id=283495"
"=","=","http://www.j-archive.com/suggestcorrection.php?clue_id=283493"
"=","=","http://www.j-archive.com/suggestcorrection.php?clue_id=283494"
"President who ordered atomic bomb dropped on Japan","Truman","http://www.j-archive.com/suggestcorrection.php?clue_id=283505"
"They destroy about 8% of the annual U.S. cotton crop","boll weevils","http://www.j-archive.com/suggestcorrection.php?clue_id=283510"
"Mrs. Naugatuck replaced this maid on Maude","Florida","http://www.j-archive.com/suggestcorrection.php?clue_id=283496"
"A glass of dark British beer goes by this portly name","stout","http://www.j-archive.com/suggestcorrection.php?clue_id=283500"
"Former astronaut Frank Borman runs this airline","Eastern","http://www.j-archive.com/suggestcorrection.php?clue_id=283504"
"State in which George Washington spent winter at Valley Forge","Pennsylvania","http://www.j-archive.com/suggestcorrection.php?clue_id=283516"
"Insects use them to smell & feel, & sometimes even to taste & hear","antennae","http://www.j-archive.com/suggestcorrection.php?clue_id=283511"
"The Carpetbaggers character who sequeled into a film of his own with Steve McQueen","Nevada Smith","http://www.j-archive.com/suggestcorrection.php?clue_id=283497"
"Traditional Kentucky Derby drink","mint julep","http://www.j-archive.com/suggestcorrection.php?clue_id=283501"
"In this Kingston Trio song, Charley's doomed to ride it forever: Well, did he ever return? / No he never returned and his fate is still unlearned / He may ride forever 'neath the streets of Boston / And he's the man who never returned...","""M.T.A.""","http://www.j-archive.com/suggestcorrection.php?clue_id=283513"
"In '64 Walter Mondale was appointed to the U.S. Senate to replace him","Humphrey","http://www.j-archive.com/suggestcorrection.php?clue_id=283506"
"Champ whom Eddie Felson hustled in The Hustler","Minnesota Fats","http://www.j-archive.com/suggestcorrection.php?clue_id=283498"
"Edgar Allan Poe's scary story featured a Cask of this sherry","Amontillado","http://www.j-archive.com/suggestcorrection.php?clue_id=283502"
"When begun in 1902, this famous train ran from New York to Chicago in 20 hrs.","The 20th Century","http://www.j-archive.com/suggestcorrection.php?clue_id=283514"
"A major street in New York's Harlem was renamed for this former Congressman","Adam Clayton Powell","http://www.j-archive.com/suggestcorrection.php?clue_id=283507"
"This butterfly that journeys from Canada to Mexico holds migration record","monarch","http://www.j-archive.com/suggestcorrection.php?clue_id=283512"
"Western star famous for rope tricks & Rose Parade appearances","Montie Montana","http://www.j-archive.com/suggestcorrection.php?clue_id=283499"
"Fruit that puts the sloe in sloe gin","sloe berry (plums)","http://www.j-archive.com/suggestcorrection.php?clue_id=283503"
"Fruehauf is America's largest maker of this specific item","truck trailers (semis)","http://www.j-archive.com/suggestcorrection.php?clue_id=283515"
"In 1808 Congress outlawed further importation of these","slaves","http://www.j-archive.com/suggestcorrection.php?clue_id=283508"
"Alaskan city renamed this because ships docked there","Anchorage","http://www.j-archive.com/suggestcorrection.php?clue_id=240593"
"Watch named for the vibrating crystal that runs it","quartz","http://www.j-archive.com/suggestcorrection.php?clue_id=240598"
"Shortened from French meaning master of hotel, he greets you & seats you","maitre d'","http://www.j-archive.com/suggestcorrection.php?clue_id=240600"
"Little girl who called Sunnybrook Farm home","Rebecca","http://www.j-archive.com/suggestcorrection.php?clue_id=240607"
"The order of works in a dictionary","alphabetic","http://www.j-archive.com/suggestcorrection.php?clue_id=240611"
"For this perennial teen-ager, life's been one big Bandstand","Dick Clark","http://www.j-archive.com/suggestcorrection.php?clue_id=240613"
"Colorado city whose name means town in Spanish","Pueblo","http://www.j-archive.com/suggestcorrection.php?clue_id=240594"
"It comes in like a lion & goes out like a lamb","March","http://www.j-archive.com/suggestcorrection.php?clue_id=240599"
"If employed by Greyhound their motto might be Leave the clearing to us","busboys","http://www.j-archive.com/suggestcorrection.php?clue_id=240601"
"Hans Brinker's were silver","ice skates","http://www.j-archive.com/suggestcorrection.php?clue_id=240608"
"Party symbol 1st used by Andrew Jackson after opponents called him a jackass","donkey","http://www.j-archive.com/suggestcorrection.php?clue_id=240612"
"He's the master of Masterpiece Theater","Alistair Cooke","http://www.j-archive.com/suggestcorrection.php?clue_id=240614"
"The city of Niagara Falls is its largest suburb","Buffalo","http://www.j-archive.com/suggestcorrection.php?clue_id=240595"
"Number of months with exactly 30 days","4","http://www.j-archive.com/suggestcorrection.php?clue_id=240602"
"In Italian it's the course ordered before the meal","antipasto","http://www.j-archive.com/suggestcorrection.php?clue_id=240605"
"As it called, it chanted, I think I can, I think I can","The Little Engine","http://www.j-archive.com/suggestcorrection.php?clue_id=240609"
"She's the mother of Cary Grant's only child","Dyan Cannon","http://www.j-archive.com/suggestcorrection.php?clue_id=240615"
"Known for manufacturing grain silos, it's North Dakota's largest city","Fargo","http://www.j-archive.com/suggestcorrection.php?clue_id=240596"
"Lucky children born that day are fair & wise & good & gay","Sunday","http://www.j-archive.com/suggestcorrection.php?clue_id=240603"
"As sommelier, he hopes to ply you with the finest vintage","wine steward","http://www.j-archive.com/suggestcorrection.php?clue_id=240606"
"Enid Bagnold's book that became Liz Taylor's 1st starring vehicle","<i>National Velvet</i>","http://www.j-archive.com/suggestcorrection.php?clue_id=240610"
"American sculptor known for his playful metal mobiles","Alexander Calder","http://www.j-archive.com/suggestcorrection.php?clue_id=240616"
"Hub of the high plains Mac Davis saw it in his rearview mirror","Lubbock, Texas","http://www.j-archive.com/suggestcorrection.php?clue_id=240597"
"Repeating group of days whose name means a turning in Old Norse","week","http://www.j-archive.com/suggestcorrection.php?clue_id=240604"
"Born Vincent Furnier, this flamboyant singer welcomed us to his nightmare in '75","Alice Cooper","http://www.j-archive.com/suggestcorrection.php?clue_id=240617"
"Major political party founded in Ripon, Wisconsin in 1854","Republicans","http://www.j-archive.com/suggestcorrection.php?clue_id=240618"
"The Bible says he was swallowed by a great fish, not a whale","Jonah","http://www.j-archive.com/suggestcorrection.php?clue_id=240636"
"He shot down 80 aircraft, but now plagues only Snoopy","The Red Baron","http://www.j-archive.com/suggestcorrection.php?clue_id=240628"
"On an Italian map you might find tutte le strade conducono a Roma","all roads lead to Rome","http://www.j-archive.com/suggestcorrection.php?clue_id=240633"
"Color you get from mixing orange & black","brown (burnt orange accepted)","http://www.j-archive.com/suggestcorrection.php?clue_id=240640"
"Marine Jahan Flashdanced as her double","Jennifer Beals","http://www.j-archive.com/suggestcorrection.php?clue_id=240623"
"If Puerto Rico becomes a state, this house of Congress will be enlarged","the Senate","http://www.j-archive.com/suggestcorrection.php?clue_id=240619"
"1st queen mentioned in the Bible was this royal visitor of Solomon","Queen of Sheba","http://www.j-archive.com/suggestcorrection.php?clue_id=240637"
"Side Italy & Japan were on in World War I","Allies","http://www.j-archive.com/suggestcorrection.php?clue_id=240629"
"Gourmet cooking in France","haute cuisine","http://www.j-archive.com/suggestcorrection.php?clue_id=240634"
"Nancy, Mia, then Barbara & now L.A. is his lady","Frank Sinatra","http://www.j-archive.com/suggestcorrection.php?clue_id=240624"
"Doctrine by which state can take private property for public use","eminent domain","http://www.j-archive.com/suggestcorrection.php?clue_id=240620"
"It warned the last Babylonian king of his approaching doom","handwriting on the wall","http://www.j-archive.com/suggestcorrection.php?clue_id=240638"
"While this country was fighting war, a revolution broke out there","Russia","http://www.j-archive.com/suggestcorrection.php?clue_id=240630"
"You can leave 'em in Germany with wer zuletzt lacht, lacht am besten","He laughs best who laughs last","http://www.j-archive.com/suggestcorrection.php?clue_id=240635"
"She keeps the kids from Fame on their toes","Debbie Allen","http://www.j-archive.com/suggestcorrection.php?clue_id=240625"
"In 1979 Shirley Hufstedler became 1st secretary of this cabinet department","Education","http://www.j-archive.com/suggestcorrection.php?clue_id=240621"
"The liner Lusitania flew the flag of this country","England (Great Britain)","http://www.j-archive.com/suggestcorrection.php?clue_id=240631"
"Latin title of Henryk Sienkiewicz novel, it means Where are you going?","<i>Quo Vadis</i>","http://www.j-archive.com/suggestcorrection.php?clue_id=240639"
"Appointed court painter to Philip IV of Spain, he painted one of the few nudes in Spanish art","Velazquez","http://www.j-archive.com/suggestcorrection.php?clue_id=240641"
"Rob Reiner's rockers who've gone from reel to real","Spinal Tap","http://www.j-archive.com/suggestcorrection.php?clue_id=240626"
"1st woman elected state governor who did not succeed her husband","Ella Grasso","http://www.j-archive.com/suggestcorrection.php?clue_id=240622"
"The war-ending armistice was signed in one of these","railway car","http://www.j-archive.com/suggestcorrection.php?clue_id=240632"
"In 1943 she created & staged the dances for the play Oklahoma!","Agnes De Mille","http://www.j-archive.com/suggestcorrection.php?clue_id=240627"
"Fulton's Folly","a steamboat","http://www.j-archive.com/suggestcorrection.php?clue_id=20186"
"Where all roads were supposed to have led","Rome","http://www.j-archive.com/suggestcorrection.php?clue_id=20191"
"Brando was 2 when his mom appeared on stage with this dad of Peter & Jane","Henry Fonda","http://www.j-archive.com/suggestcorrection.php?clue_id=20177"
"Daimler & Benz borrowed this name from a friend's daughter","Mercedes","http://www.j-archive.com/suggestcorrection.php?clue_id=20182"
"The Empire State","New York","http://www.j-archive.com/suggestcorrection.php?clue_id=20198"
"Fermented apple juice","hard cider","http://www.j-archive.com/suggestcorrection.php?clue_id=20183"
"Early ones were called the hobby horse, penny-farthing & high-wheeler","a bicycle","http://www.j-archive.com/suggestcorrection.php?clue_id=20187"
"Its people called it kemet, color of black, from land after flooding by Nile","Egypt","http://www.j-archive.com/suggestcorrection.php?clue_id=20192"
"She won 8 Academy Awards with only her clothes appearing on screen","Edith Head","http://www.j-archive.com/suggestcorrection.php?clue_id=20178"
"GM car named for Indian chief who tried to take Ft. Detroit","Pontiac","http://www.j-archive.com/suggestcorrection.php?clue_id=20196"
"The ceiling of its capitol features a lone star","Texas","http://www.j-archive.com/suggestcorrection.php?clue_id=20199"
"Descriptive of Mike Hammer, Private Eye, or a 20-minute egg","hard-boiled","http://www.j-archive.com/suggestcorrection.php?clue_id=20184"
"1899 device for attaching papers that can ruin a computer disc when magnetized","a paper clip","http://www.j-archive.com/suggestcorrection.php?clue_id=20188"
"Followed the Stone Age; named for copper alloy people used for tools & weapons","the Bronze Age","http://www.j-archive.com/suggestcorrection.php?clue_id=20193"
"The 3 stars of Rebel Without a Cause who met with untimely deaths","Natalie Wood, James Dean, and Sal Mineo","http://www.j-archive.com/suggestcorrection.php?clue_id=20179"
"What BMW stands for","Bavarian Motor Works","http://www.j-archive.com/suggestcorrection.php?clue_id=20197"
"Only U.S. state with a Z in its name","Arizona","http://www.j-archive.com/suggestcorrection.php?clue_id=20200"
"Reason people used to stick a trumpet in their ear","hard of hearing","http://www.j-archive.com/suggestcorrection.php?clue_id=20185"
"After inventing the lever & pulley, this Greek said, I will move the Earth","Archimedes","http://www.j-archive.com/suggestcorrection.php?clue_id=20189"
"The Chinese once regarded calligraphy as a branch of this art","painting","http://www.j-archive.com/suggestcorrection.php?clue_id=20194"
"In her 1st film she sang with Alfalfa Switzer; in her next, she was paired with Lassie","Elizabeth Taylor","http://www.j-archive.com/suggestcorrection.php?clue_id=20180"
"The New England state without an Atlantic Ocean coastline","Vermont","http://www.j-archive.com/suggestcorrection.php?clue_id=20201"
"TV role Brian Keith judged OK to play","Hardcastle","http://www.j-archive.com/suggestcorrection.php?clue_id=20203"
"1st one to attempt sinking a warship was the Turtle in the Revolutionary War","a submarine","http://www.j-archive.com/suggestcorrection.php?clue_id=20190"
"Civilization of sailors that developed 1st Western alphabet","the Phoenicians","http://www.j-archive.com/suggestcorrection.php?clue_id=20195"
"Oliver Hardy's co-star in The Fighting Kentuckian","John Wayne","http://www.j-archive.com/suggestcorrection.php?clue_id=20181"
"8th state of the Union, it was the 1st state to secede","South Carolina","http://www.j-archive.com/suggestcorrection.php?clue_id=20202"
"Album & film featuring Tell Me Why & You Can't Do That","<i>A Hard Day's Night</i>","http://www.j-archive.com/suggestcorrection.php?clue_id=20204"
"The Shannon River, longest in the British Isles, is in this country","Ireland","http://www.j-archive.com/suggestcorrection.php?clue_id=20205"
"Major New York daily that runs no comic strips","<i>The New York Times</i>","http://www.j-archive.com/suggestcorrection.php?clue_id=20206"
"With India's help Bangladesh broke away from this country","Pakistan","http://www.j-archive.com/suggestcorrection.php?clue_id=20209"
"Among his famous pianos have been his bed & swimming pool","Liberace","http://www.j-archive.com/suggestcorrection.php?clue_id=20210"
"Lysergic acid diethylamide","LSD","http://www.j-archive.com/suggestcorrection.php?clue_id=20213"
"Way you can have your eggs or Mary Martin","over easy","http://www.j-archive.com/suggestcorrection.php?clue_id=20214"
"A bridge has been proposed to connect Long Island & Rhode Island, across this waterway","the Long Island Sound","http://www.j-archive.com/suggestcorrection.php?clue_id=20219"
"Wash., D.C.'s 2nd largest paper, The Times, is published by members of this church","the Moonies (or the Unification Church)","http://www.j-archive.com/suggestcorrection.php?clue_id=20207"
"The Cavaliers opposed the close-cropped Roundheads in this country's civil war","England","http://www.j-archive.com/suggestcorrection.php?clue_id=20222"
"In spite of koochie koochie image, she's an accomplished guitarist","Charo","http://www.j-archive.com/suggestcorrection.php?clue_id=20211"
"In 1903, barbital became the 1st of this type of drug","barbiturates","http://www.j-archive.com/suggestcorrection.php?clue_id=20228"
"Slang for parasitical hanger-on, or what Peter Fonda played in '69","easy rider","http://www.j-archive.com/suggestcorrection.php?clue_id=20215"
"He now owns the New York Post, Village Voice, Boston Herald, Chicago Sun-Times & San Antonio Express","Rupert Murdoch","http://www.j-archive.com/suggestcorrection.php?clue_id=20208"
"Its starving children symbolized the defeat of this Nigerian region","Biafra","http://www.j-archive.com/suggestcorrection.php?clue_id=20223"
"He succeeded Arthur Fiedler directing the Boston Pops","John Williams","http://www.j-archive.com/suggestcorrection.php?clue_id=20212"
"Keith Carradine's Oscar-winning song from the movie Nashville","""I'm Easy""","http://www.j-archive.com/suggestcorrection.php?clue_id=20216"
"Roaring '20s president who was a journalist by profession","Harding","http://www.j-archive.com/suggestcorrection.php?clue_id=20220"
"Symbolic colors of opposing sides in Northern Ireland","green and orange","http://www.j-archive.com/suggestcorrection.php?clue_id=20224"
"Pioneer of multi-track recording, he was creator of popular Gibson solid-body guitar","Les Paul","http://www.j-archive.com/suggestcorrection.php?clue_id=20226"
"Movie title which refers to a handful of etudes","<i>Five Easy Pieces</i>","http://www.j-archive.com/suggestcorrection.php?clue_id=20217"
"West Coast newspaper that owns Long Island's Newsday","<i>The Los Angeles Times</i>","http://www.j-archive.com/suggestcorrection.php?clue_id=20221"
"Name of Franco's party in Spain & main Christian party in Lebanon","the Phalange","http://www.j-archive.com/suggestcorrection.php?clue_id=20225"
"His brilliance on the violin might be explained by his unusual hand formation","Jascha Heifetz","http://www.j-archive.com/suggestcorrection.php?clue_id=20227"
"'30s domestic comedy radio show featuring Goodman Ace & wife, Jane","<i>Easy Aces</i>","http://www.j-archive.com/suggestcorrection.php?clue_id=20218"
"World's largest office building, named for its geometric shape","The Pentagon","http://www.j-archive.com/suggestcorrection.php?clue_id=20138"
"Comic whose trial by fire fueled his comedy routines","Richard Pryor","http://www.j-archive.com/suggestcorrection.php?clue_id=20143"
"Sly creature sought by sportsmen riding to hounds","a fox","http://www.j-archive.com/suggestcorrection.php?clue_id=20129"
"British decoration named for former queen","Victoria Cross","http://www.j-archive.com/suggestcorrection.php?clue_id=20149"
"What Paul Newman's Hustler hustled","pool","http://www.j-archive.com/suggestcorrection.php?clue_id=20133"
"Defaced by sand & invading armies, it crouches near the Great Pyramids","the Sphinx","http://www.j-archive.com/suggestcorrection.php?clue_id=20139"
"Master of the pause followed by Now cut that out!","Jack Benny","http://www.j-archive.com/suggestcorrection.php?clue_id=20144"
"The ship of the desert","a camel","http://www.j-archive.com/suggestcorrection.php?clue_id=20130"
"Since '32 the U.S. Badge of Military Merit has had this colorful name","the Purple Heart","http://www.j-archive.com/suggestcorrection.php?clue_id=20150"
"Subtitled How I Learned to Stop Worrying & Love the Bomb","<i>Dr. Strangelove</i>","http://www.j-archive.com/suggestcorrection.php?clue_id=20134"
"His statue is atop Philadelphia's City Hall","William Penn","http://www.j-archive.com/suggestcorrection.php?clue_id=20140"
"Pat Paulsen ran for president on their controversial Comedy Hour","the Smothers Brothers","http://www.j-archive.com/suggestcorrection.php?clue_id=20145"
"The children are poults, the mothers, hens & the fathers,toms","turkeys","http://www.j-archive.com/suggestcorrection.php?clue_id=20131"
"This prize did not have an economics category until '69","the Nobel Prize","http://www.j-archive.com/suggestcorrection.php?clue_id=20151"
"1949's Best Picture, its title came from Humpty Dumpty","<i>All the King's Men</i>","http://www.j-archive.com/suggestcorrection.php?clue_id=20135"
"France's Unknown Soldier lies beneath this Champs-Elysees landmark","the Arc de Triomphe","http://www.j-archive.com/suggestcorrection.php?clue_id=20141"
"After playing the nightclub circuit, he broke into movies with What's New, Pussycat?","Woody Allen","http://www.j-archive.com/suggestcorrection.php?clue_id=20146"
"Name of the sport of hunting birds with other birds","falconry","http://www.j-archive.com/suggestcorrection.php?clue_id=20132"
"26 years after writing it for the stage, he won Oscar for the screenplay Pygmalion","George Bernard Shaw","http://www.j-archive.com/suggestcorrection.php?clue_id=20152"
"He sang his way to an Oscar in Cabaret:","Joel Grey","http://www.j-archive.com/suggestcorrection.php?clue_id=20136"
"The date on the tablet held by the Statue of Liberty","July 4, 1776","http://www.j-archive.com/suggestcorrection.php?clue_id=20142"
"Though originally a comic, he was 1st black regular on a U.S. dramatic TV series","Bill Cosby","http://www.j-archive.com/suggestcorrection.php?clue_id=20147"
"Floating sea creature named by sailors for the Iberian fighting ship it resembles","the Portuguese man-of-war","http://www.j-archive.com/suggestcorrection.php?clue_id=20148"
"He may disagree with Gene Siskel, but he won '75 Pulitzer Prize for Film Criticism","Roger Ebert","http://www.j-archive.com/suggestcorrection.php?clue_id=20153"
"Ironically, he spoke the only word in Mel Brooks' Silent Movie","Marcel Marceau","http://www.j-archive.com/suggestcorrection.php?clue_id=20137"
"Working party that 1st came to power in 1924","the Labor party","http://www.j-archive.com/suggestcorrection.php?clue_id=20154"
"Land animal with the largest teeth","the elephant","http://www.j-archive.com/suggestcorrection.php?clue_id=20159"
"NBC sci-fi series about alien lizards invading Earth","<i>V</i>","http://www.j-archive.com/suggestcorrection.php?clue_id=20164"
"Number of Senators from each state","2","http://www.j-archive.com/suggestcorrection.php?clue_id=20169"
"Located in Alaska, it's North America's highest peak","Mt. McKinley","http://www.j-archive.com/suggestcorrection.php?clue_id=20172"
"Heavy winds sank more of this famed Spanish fleet than the English did","the Armada","http://www.j-archive.com/suggestcorrection.php?clue_id=20155"
"Diffraction refers to the way it bends","light","http://www.j-archive.com/suggestcorrection.php?clue_id=20160"
"On TV, letter on Miss DeFazio's blouses","L","http://www.j-archive.com/suggestcorrection.php?clue_id=20165"
"Elected office held by president of the Senate","Vice President","http://www.j-archive.com/suggestcorrection.php?clue_id=20170"
"It's across the Danube from Pest","Buda","http://www.j-archive.com/suggestcorrection.php?clue_id=20173"
"In 1707, the Act of Union united these 3 countries to form Great Britain","England, Scotland, and Wales","http://www.j-archive.com/suggestcorrection.php?clue_id=20156"
"The 2 primary ferrous metals","iron and steel","http://www.j-archive.com/suggestcorrection.php?clue_id=20161"
"Letter reversed in the name of what a giraffe calls The World's Biggest Toystore","R","http://www.j-archive.com/suggestcorrection.php?clue_id=20166"
"State once represented by James Buckley & Jacob Javits","New York","http://www.j-archive.com/suggestcorrection.php?clue_id=20171"
"New Zealand, Midway & Hawaii are all a part of this many islands group","Polynesia","http://www.j-archive.com/suggestcorrection.php?clue_id=20174"
"In 1881, this punishment took a beating & was abolished by the British Navy","flogging","http://www.j-archive.com/suggestcorrection.php?clue_id=20157"
"Natural vanilla flavoring comes from this tropical flower","the orchid","http://www.j-archive.com/suggestcorrection.php?clue_id=20162"
"1930 film where Peter Lorre plays a child murderer","<i>M</i>","http://www.j-archive.com/suggestcorrection.php?clue_id=20167"
"2 of the 3 countries that make up the Benelux Economic Union","(2 of) Belgium, The Netherlands, Luxembourg","http://www.j-archive.com/suggestcorrection.php?clue_id=20175"
"Last monarch of the House of Tudor","Elizabeth I","http://www.j-archive.com/suggestcorrection.php?clue_id=20158"
"Stratigraphy is a branch of this science","geology","http://www.j-archive.com/suggestcorrection.php?clue_id=20163"
"In music, the seventh tone in the diatonic scale of C","B (or ti)","http://www.j-archive.com/suggestcorrection.php?clue_id=20168"
"Abu Dhabi & Dubai are 2 of the 7 states that make up this Middle Eastern federation","the United Arab Emirates","http://www.j-archive.com/suggestcorrection.php?clue_id=20176"
"A typical snowflake has this many sides","6","http://www.j-archive.com/suggestcorrection.php?clue_id=20083"
"Named for an island, these '50s shorts are fashionable again","Bermuda shorts","http://www.j-archive.com/suggestcorrection.php?clue_id=20096"
"Though Detective Pinkerton saved him once, he later became 1st assassinated president","Abraham Lincoln","http://www.j-archive.com/suggestcorrection.php?clue_id=20084"
"Police equipment featured in ads for Clint Eastwood's Tightrope","handcuffs","http://www.j-archive.com/suggestcorrection.php?clue_id=20087"
"The black & white bear of Walter Lantz cartoons","Andy Panda","http://www.j-archive.com/suggestcorrection.php?clue_id=20102"
"Common element whose refined forms include pig, cast or wrought","iron","http://www.j-archive.com/suggestcorrection.php?clue_id=20092"
"Howard Hughes designed a cantilevered one for voluptuous Jane Russell","a brassiere","http://www.j-archive.com/suggestcorrection.php?clue_id=20097"
"Kind of people Randy Newman don't want 'round here","short people","http://www.j-archive.com/suggestcorrection.php?clue_id=20101"
"Second U.S. president, he was the 1st defeated for re-election","John Adams","http://www.j-archive.com/suggestcorrection.php?clue_id=20085"
"Bo Derek film released unrated so it wouldn't get an X","<i>Bolero</i>","http://www.j-archive.com/suggestcorrection.php?clue_id=20088"
"A Family Affair was the 1st of 15 films in this Mickey Rooney series","the Andy Hardy series","http://www.j-archive.com/suggestcorrection.php?clue_id=20103"
"After length, width & depth, the 4th dimension","time","http://www.j-archive.com/suggestcorrection.php?clue_id=20093"
"Edible name for a double-breasted wool navy jacket","a pea jacket","http://www.j-archive.com/suggestcorrection.php?clue_id=20098"
"1st president to refuse a 3rd term","George Washington","http://www.j-archive.com/suggestcorrection.php?clue_id=20086"
