"","comments","neighbourhood_cleansed"
"15477","The apartment covers all of the basics but being that it's a tiny studio it definitely had some space issues for two people. Sean was awesome, even met us early on Saturday morning after our red-eye flight. The apartment is just over a block from a T stop and the local spots: Penguin Pizza, JP Licks and such are awesome!  The only downside was the age of the building and the fact that Sean wasn't able to clean it before we arrived (given that someone had just left and we were early). Overall, it's very accessible from public transit, has great local spots for food/drink and gives you a places to crash in Boston at a reasonable price. However, for some creature comforts I would splurge for something a little more plush.","Mission Hill"
"28689","The apartment is wonderful. The location is walking distance to everywhere. The most important thing is that Jazz is the best host I have ever met. When I stay at her place, I could even feel like one of her family members. She is so kind who will give me a lot of suggestions of Boston. She is also willing to chat with me about my travel. Above all, her hospitality is beyond words. I strongly recommend every traveler in Boston to stay at Jazz's place.","Leather District"
"789.2","I had a long stay there for business (~20 days).  Unfortunately my experience with Sean was not fun.  I will try to review his place in fairness.

Pros:
-The location was perfect. Very close to subway, buses, hubway, stop and shop, walgreens, restaurants and cafe.
-Good price. Based on the location, this low price is very attractive.
-Kitchenette is not gorgeous but has everything you need for simple stuff.  A grill, refrigerator and freezer, microwave (Sean brought it for me), pans, and silver ware.  Espresso machine if you'd like.
-Small but ok room. A Bed, a small sofa, little space to put a suitcase, and kitchenette. That's it.  I put one of my suitcases under the bad.  You have to be creative to find a place to eat and use laptop.

Cons:
-The bath room was nasty. There was no cleaning tools and I wonder when it was cleaned last time.  The bath tub was not draining water very well: it took hours to become empty.  I contacted Sean and asked to fix it.  After 2 weeks or so, Sean came to the room and started a big construction --- breaking the walls and floor around the bath tub and changing the drain pipe.  Not only that I couldn't use the bath tub for several days, this tiny room was cover by dusts, including my foods and bed.  I couldn't accept this conditions, and called Airbnb fro help.  After sending photos, Airbnb understood the situations, refunded for the remaining days, and allowed me to relocate to a nearby hotel by covering some cost for it.  Although Airbnb took care of this incident pretty well, it was a lot of unnecessary hustle during my business trip.
-Wifi was really slow.
-Sean's response to my Emails were slow.  Even after I requested him to change towels and sheets, he didn't respond to most of the time.

Summary:
I had a big trouble with Sean, but now he has fixed the problem with the bath tub.  Is it worth staying now? Maybe.
Airbnb customer service was nice.  It was hard to find contact number (phone number hidden)), but after I explained my troubles their response was generous.
","Mission Hill"
"15564.1","I don't recommend this place. The studio is tiny, hardly any floor space once you have the two beds folded out. It wasn´t very clean and the shower is old and moldy. it's OK if you just want to sleep though and the area and public communications into Boston are OK. 
What really upset me and my friend however was that it was so difficult to get in touch with Sean on arrival. As we entered the US, we had to wait 1,5h (!) at border control (we are European citizens) and we immediately texted Sean that we would be late. We sent several texts, informing him. He never replied. We were really worried as it was nearing midnight and we hadn´t heard from him. We decided to find the studio, praying that he'd be there waiting for us. 

When we arrived he simply said, """"ah, I saw your text, but I didn't reply since it would cost me"""". This made both me and my friend furious, it was just so extremely arrogant to have us worrying like that, tired, late in a foreign city. I understand that he has lots of guests and that it's costly to text people, but hey, ONE SINGLE text, how expensive can it be? it left a very bad impression on me and I'd never recommend this place to anyone. ","Mission Hill"
"28625","Jazz was a great host and recommended some places in the neighborhood for me to check out.","Leather District"
"15738.1","This room was perfect for me.  I came to Boston to visit my daughter and this place is only a few blocks from her apartment.  
It is exactly as billed.  It's an inexpensive alternative to very expensive hotels in Boston and conveniently located near the T.  An earlier reviewer described it best, it's like staying on the couch of a college student. I'd like to add it's better than that because you're sleeping on a comfy bed and you have your own bathroom! I could have stayed on my daughter's couch but didn't really want to share a bathroom with 4 girls or have to keep their hours.   
This is a student neighborhood so there's a bit more street noise on Friday and Saturday nights.  But the building is very quiet.
Sean was very attentive responding quickly every time I contacted him.

","Mission Hill"
"1580","Christina was a great host. I felt very safe and comfortable at her place. She offered towels and anything else I needed. There is a whole foods nearby that was about a 5 minute walk. It is also a quiet and cozy place that was nice to come home to!  The only thing worth mentioning is there was no microwave for warming food up, but wasn't that big of a deal afterall! I would recommend this place for those who want a quiet, cozy place just outside of the main parts of Boston. ","Mission Hill"
"28644","Excellent spot!  The apartment was spotless, host was very nice and helpful, and super convenient location if you're coming into town for business.  Definitely recommend this.  

Thanks Jazz!
-Jacob","Leather District"
"19291","I didn't get to meet Fernando but his roommate was very friendly and helpful. The location is ideal for me. It's quite except for occasional bursts of noise. The noise is tolerable but will be good to bring ear plugs.","Mission Hill"
"15798.2","Sean was prompt in answering phone calls, though he seemed not to be reading SMS and emails. So contact him by phone calls. 

Pros: The place was overall clean. The location is very convenient and close to the Green Line and many shops. The fridge and the microwave oven worked properly. 

Cons: The studio is small and the facilities inside seemed quite old. The faucet in the bathroom could not be closed tightly. The sound of dribbling of water was annoying and it was quite a waste of water. (I have known this from the host manual beforehand but could not understand why Sean did not fix it.) The location is too close to Huntington Ave and the noise at night was horrible. The air conditioner did not seem to work properly and was quite noisy. Interestingly we managed to use the noise of the air conditioner as """"white noise"""" to cover the noise from outside so that we had a better sleep at night... 

You got what you paid for. ","Mission Hill"
"15631","The apartment is small, old, and not very clean, but it is also really cheap. If you plan to stay just a few days and have a limited budget I would recommend this place, but if you are willing to spend a little bit more for a better apartment maybe you should look for something different.
I stayed here with my girlfriend for four days and overall it was not a bad experience. The neighborhood is really nice and the subway station is really close to the apartment.","Mission Hill"
"28626","Jazz is the perfect host and her place is AH-MAZING. The area is great, literally 2 mins from South Station and everything else downtown has to offer. I'd definitely go back to her place if I'm visiting Boston.  ","Leather District"
"28637","Great host, great apartment, great experience! The place was comfortable and immaculate, and Jazz was very friendly and easy to work with. The location was very convenient for access to the T, as well as being very close by our conference location, so it was an enjoyable trip all the way around.","Leather District"
"15620","Very accommodating when my flight was delayed and delayed again.  Comfortable and easy to find.","Mission Hill"
"15580","Esta propiedad se ajusta a las fotos presentadas en la pagina, con una ligera variación en cuanto al desgaste natural por el uso constante de visitantes de corta duración, por lo que no es de esperarse un studio a estrenar. Sin embargo la ubicación es excelente, buenos bares, coffe shops, liquor stores y restaurantes jamaiquinos, italianos, asiáticos y americanos obviamente. En general muy practico para un viajero o pareja de viajeros jóvenes que quieran conocer Boston/Cambridge y sus alrededores.","Mission Hill"
"28639","Beautiful loft, a block from the silver line. Easy walk to Chinatown and Boston Commons.  I walked to the Convention Center in about 25 min.  Jazz is a gracious host, offering everything you need, and great tips for dinner and transportation.  Thanks!","Leather District"
"27473.1","We stayed for three nights in the double bedroom and frankly found this a mixed experience.

Firstly, the place is good value for money based on other properties on Airbnb and elsewhere. It might be best suited the budget traveller.

Here were our issues:
1) Our room was smelly and stuffy. Especially the subway food smells from the store downstairs. We hate the smell of subway.
2) There are rules around cleaning dishes and pans etc after use, but they were not observed by the host when we stayed. Every time we went into the kitchen there were dirty dishes etc filling the sink and used kitchen stuff on the benches. We didn't feel comfortable using the kitchen facilities.
3) There were filled garbage bins in the living rooms for the first two days we were there. The living room was not really accessible for use by guests as the host was watching TV most of the time we were there and it is kind of set up as her office.
4) No space in the bathroom for guest items. The bathroom is small and has a fair amount of clutter in it meaning there is no room for guests to store items in the bathroom. On the last day we stay in the apartment there were a total of 6 people staying in the property therefore things can get a little congested and noisy.
5) The room is noisy from people upstairs and the host watching TV at night in the living room, albeit earplugs were provided by the host.
6) The double bed (fold out sofa) was a little small for us and could be more comfortable.  

We looked into alternative accommodation on the first night but were not able to find any, which gives you an indication of the expense and availability of accommodation in the area.  If we had found it we would have asked to move.

Understanding that there have been some great reviews of this place, we just wanted to provide the most balanced view on our experience.

The host was helpful letting us store our bags at the apartment on our final day and the communication was good.","Mission Hill"
"28630","All good. Responsive host, clear instructions, immaculate space, convenient location.","Leather District"
"25400","Only spent one night here, but would have loved to stay longer! The apartment was beautiful with a very sweet cat, a very comfortable bed, and in a very nice building. And there's free parking on a side street nearby, which was a treat. I didn't get to meet Alisa, but her fiance, Casey, was a gracious host-- he stuck around to let us into the building, offered us beer, and helped us guide our confused cab driver when we got lost on our way back to the apartment! All around great stay!","Mission Hill"
"13220","Really great place in a very convenient location - looks just like the pictures.  Matt was very responsive and willing to accommodate any reasonable request we had.","Leather District"
"28530","By far one of the best Airbnb experiences I've had.  Joe and Colleen were amazing hosts, we got in late - she was there to greet us and give a full tour.  Both were super responsive, helpful request, flexible about leaving our bags the last day (had  a late flight home and didn't want to drag our bags all over town from meeting to meeting).  The place itself was perfect, good feel/esthetic, clean, inviting - just wanted to hang there all day :) and the pool table (that should be a new filter when searching a place, does it have a pool table!  Great neighborhood, nice french place across the street, close to public transportation and walking distance to the North End.  Joe/Colleen - thank you again, if back in Boston, will definitely look to stay again if available!","Leather District"
"13222","Loft was just as pictured - nice and spacious, comfortable modern decorations, great location.  Relaxed host, with good communication by text and phone. ","Leather District"
"15612","We had a good short stay in Sean's apartment. It's very well located & great area. I think the apartment is as described, clean & had plenty of room for the two of us (but we are pretty low maintenance). . .Sean was helpful with letting us leave our bags at his place after a horrible overnight bus. However, was a bit slow giving us a specific time early on for check in after I asked if it would be possible to go earlier in the morning - he just kinda put of answering - woulda been nice to just get a specific time & arrangement earlier to arrange our short stay around that. Also, I hate to say it but there is still a few bed bugs. Nothing too serious - i was fine (& we kept our stuff well away in case) but my boyfriend got attacked all over the top of one of his legs :( & completely understand they are tres difficult to get rid of & Sean seems on top of the problem. But overall well priced, comfortable & well located apartment.","Mission Hill"
"28696","Jazz is a generous and charming host. I enjoyed our conversations, her tips for an Oyster bar before dashing off to the airport, and her modern loft. The bed is very comfortable, the bath room nicely appointed and everything in the city center near South Station. Would love to come again!","Leather District"
"16177","After booking I found out that Kara is a representative of a company, not a host per se. This was only my second experience with airbnb so I was surprised.   The apartment is large, clean, but impersonal.  Great airconditioning, a priority for a hot boston week.  Helpful doormen. Great location near hospitals and museem of fine arts. 

.The staff leave starter bags of dishtowels, dish soap, toiletries. Nice.  But Took 5 calls to 3 different numbers to check out...the 2 numbers on  the check out sheet were """"unavailable"""" so had to go back to one on Kara's email. Frustrating.


","Mission Hill"
"28628","Very comfortable bed, super clean, everything as promised. Very close to South Station bus terminal, train station, and red line metro stop. We were there very briefly but it suited our needs perfectly.","Leather District"
"28695","Jazz was an excellent host. The description was accurate and I felt at ease at the apartment. The neighborhood and location was great.","Leather District"
"15600","I'm hesitant to give this 2 stars -- I'd like to give it one or none -- because I got BED BUGS from this place!  But I have to be fair and say that the location and convenience are great; it's super close to the T, great point from which to explore Boston and restaurants and shops close by. Also, Sean was accommodating and helpful; he brought us more bedding when we needed it and also let us keep our bags in the studio for a few hours past check out time on the day we left so that we wouldn't have to traipse through Boston with them.  BUT, and it's a big BUT, this place feels like it hasn't had a good cleaning in years.  There is dust everywhere and worst of all, the mold was THICK in the bathroom.  So bad and so nasty that I went out and bought tile cleaner and cleaned the thing myself!  When Sean came by (to drop the bedding) he noticed I had cleaned and said something about oh, it'll just be back because there isn't ventilation.  Um, no, it won't come back if you clean regularly.  He also said something along the lines of, well, that's why it's not $200 a night.  Again, no.  I don't care how much I'm paying, I expect a clean and healthy place -- and mold in every crevice of the bathroom is just plain disgusting and unhealthy.  There are also missing tiles in the bathroom floor and some are coming up.  I took pictures of all this by the way, because I couldn't believe it. I wouldn't care so much about that if -- again -- I felt that the bathroom floor had been properly scrubbed in the last year or so.  But whatever, I could get over all that -- it's the BED BUGS I'm mad about.  Lo and behold I come home and to dozens -- maybe hundreds? -- of bites all over my body.  I'd post pictures but they are rather gross. It takes a few days for them to appear so I didn't realize it till after I left, because believe me, otherwise I would have called Sean and AirBnB and demanded a new place to stay.  So yeah, here I am at home, now frantically washing all my clothes and linens.  So if the place were cleaned and exterminated, I'd give it a 3 or 4 (it is very small) but as is, I'd say go somewhere else!","Mission Hill"
"16509","As was the case the last time I stayed here, the place was spic and span, robust with character, and a lot of fun. Super comfortable beds, great office desk to work from, and great location. ","Leather District"
"797","At a first glance the apartment seemed alright, but apart from the location it is a real dump!
During our stay the lock on the front door never seemed to work.. We were forced to pack up all our belongings and hide them in our car! On the second day (after the host told us he had fixed the door) we came home and were faced with a broken lock once again!
And to top it all off,my girlfriend woke up every morning covered with insect bites!
I would not recommend this apartment to anyone, unless you are extremely broke and do not mind spending an hour per day trying to enter and lock your apartment and waking up with itchy insect bites...","Mission Hill"
"28663","Jazz was so nice. The apartment was just perfect. Everything was perfectly clean, Jazz really made me feel like home. She was supportive on everything, great places to eat, how to get to Harvard etc. The bedroom was perfect and clean as well and the bathroom (with bath!) was just perfect. She made my stay so nice. I miss the apartment already. Definitely will come back! ","Leather District"
"16504","The apartment was great and Nicolas was a nice host.  I would definitely recommend this apartment!","Leather District"
"28618","I wish I could have stayed more than one night! Jazz is a very responsive, warm, and energetic host. The loft is amazing, with a very chic & comfortable guest room, and the bathroom feels like a spa. I definitely recommend Jazz and her loft!","Leather District"
"15764","This listing was not accurate, except the location; I do not recommend this place. The place has not been cleaned in a really long time, everything is dusty and rusty. The faucet in the bathroom is leaking continuosly (for at least the last 9 months according to other reviews), and one of the elements on the stove is not functioning. Yes, the place has a great location right next to public transportation. As expected, the place was small, which didn't bother us, but the cleanliness did. Check in says 1 pm, with most of the time during school sheets being changed by 3 pm, I check in at 4 pm and place still had trash from the previous person and sheets were not changed. When I texted Sean to confirm that check in was 1 pm and I wanted to nap, since I was on the road since 4 am, I was told that using the word """"disgusting"""" to lay on other people's sheets was an exagerration and he proceeded to ask me """"How many times I change my sheets per week at home"""". I thought that was a very rude comment. Also, I was told that there are specifically rules about napping; I think he is confusing his listings (he has 6 listing), there is nothing about napping rules on this property. If I pay for a place, I should nap whenever I please. When he stopped by at 6 pm, he seemed like a nice person, but that still doesn't change my opinion of the place. I did appreciate that he took the window unit out of the window once I pointed that it was very drafty around it and it was a cold February week end in Boston. His listing also mentions that shoes should not be worn inside, fine by me, as long as you respect your own rules. When he came in he didn't take off his shoes and he left the floor wet and dirty. The little area rug was dirty and the floor was dirty as well. If you want me to take off my shoes, please provide me with a clean floor. Due to the schedule we had for Saturday, we were not able to secure  other sleeping accomodations so we spent 2 nights there. If I would have known the disrepair of this place, I would have definitely skipped it. We didn't expect a 5 star hotel for the price, but definitely not the dirty place we found. ","Mission Hill"
"15637","We spent a night in this room on 25 Aug 2013 (sorry we could not report earlier), and we were bitten by BED BUGS (more than 30 bites in total on various body parts), so they are NOT gone. 

Unless the owner can guarantee that the flat has been professionally sanitized (replacing the mattress is not sufficient), I would absolutely AVOID this place for the moment. We had to wash/dry/isolate all clothes and deal with ugly bites on a holiday trip... not funny. 

Apart from that the room is small (as expected) and rather dirty (not acceptable). The location is good, very close to public transport.","Mission Hill"
"28691","I had a lovely stay at Jazz's place. It was immaculate. Spare, clean, well-decorated. 
Jazz met me at the front and gave me a lay of the land. She hung around for a bit and departed. She is friendly, chatty, and helpful. 
I had a conference in Boston. When I returned in the evening, she was there to check on things. As I got into calls I had to make, she took her leave. 
I wanted a place close to South Station since I had to travel to the conference on the commuter train. It was incredibly convenient. 
Except for the garbage trucks coming into the alley at night, the place was truly quiet and relaxing. The bed was soft but firm. Best night of sleep is had in months. 
Jazz set up the coffee to go on in the morning and had English muffins out (even though there is an awesome diner just around the corner).
I would highly recommend Jazz's place!","Leather District"
"15564","I don't recommend this place. The studio is tiny, hardly any floor space once you have the two beds folded out. It wasn´t very clean and the shower is old and moldy. it's OK if you just want to sleep though and the area and public communications into Boston are OK. 
What really upset me and my friend however was that it was so difficult to get in touch with Sean on arrival. As we entered the US, we had to wait 1,5h (!) at border control (we are European citizens) and we immediately texted Sean that we would be late. We sent several texts, informing him. He never replied. We were really worried as it was nearing midnight and we hadn´t heard from him. We decided to find the studio, praying that he'd be there waiting for us. 

When we arrived he simply said, """"ah, I saw your text, but I didn't reply since it would cost me"""". This made both me and my friend furious, it was just so extremely arrogant to have us worrying like that, tired, late in a foreign city. I understand that he has lots of guests and that it's costly to text people, but hey, ONE SINGLE text, how expensive can it be? it left a very bad impression on me and I'd never recommend this place to anyone. ","Mission Hill"
"28651","Jazz's place was amazing and so was she! Jazz was very friendly and helpful with tips on what to do around Boston. The location is very central and super close to South Station so we walked everywhere from here. The apartment itself was immaculate and we felt like we were in a hotel instead of an apartment. Would definitely come back here the next time we are in Boston! Thanks Jazz!","Leather District"
"28535","I have been in Boston many times and this was certainly one of the nicest host I had. They were so friendly and have a great attention to details. 

Beautiful Loft has very comfortable beds and is situated in a great location. It is clean, charming and elegant. 

The pool table is a bonus and a great place to chill out. 

I would certainly stay there again. 

","Leather District"
"16514","Nice very clean and very spacious apartment just as described. Plenty of space for a family of four and the living area / kitchen etc was really nice. We were only staying in Boston for one night so it was just perfect. Short five or 7 minute walk to Boston Common and beyond so it was pretty central. Public car park directly across from front door which was very useful. Didn't get to meet our host but hand over was well organised. But noisy at night outside but it was Boston on a Friday night","Leather District"
"16497","Nicolas was very accommodating, gracious and understanding in the lead up to my booking for my General Manager. Once checked in she was very happy with the Loft, in terms of accuracy to the images posted on the listing as well as some very nice finishing touches from Nicolas.

I will, without a doubt, be in touch with Nicolas to make another booking!","Leather District"
"39662","Amy met us when we arrived and showed us to the rooms.  They were just as advertised and she was a gracious host.  The beds were very comfortable and we enjoyed the deck.  It was about a 10 to 15 minute walk to the T station.  Brookline is a great community and there are a couple of good places just around the corner from Amy's.  My only caution would be that if you have mobility issues, you may have difficulty with the steep stairs.  ","Mission Hill"
"34054","The apartment is fine, and the location is great for walking, but the T (trolley) stop is directly across the street, so the bedrooms do get noisy.  The apartment is a 4th floor walk-up (with dirty carpeting), which makes it a bit challenging.  The kitchen is lovely; the bedrooms and the bathroom could use better linens and mattresses and towels in order to be 'upscale', as advertised.  Half-used toiletries were left in the bathroom, which I think is inappropriate.  Kama was kind and helpful and was available by text thruout the weekend, and I appreciated her guidance.  The information booklet with vital information about parking, etc. left in the apartment was incomplete (pages missing).  This apartment just needs a bit of attention, I think. ","Mission Hill"
"15649","Sean's place was a kind of a disappointment for us. The place is small as described, but that's not the problem. The real issue is the big amount of dirt we found all over the place. The freezer reeks and is so dirty that we found it impossible to use. The location though is awesome. There are plenty of good places to eat around, not to mention there is a train station nearby. The thing is if you're looking for cleaness and a big room thats definetly not the place, but if your budged is low and you're trying to be well located, go for it.
","Mission Hill"
"28616","Great loft, great host. Better and more cost effective than staying at one of the hotels downtown. Near everything and Jazz could be the star of her own reality TV show. Overall a great experience.","Leather District"
"13224","Very positive experience.","Leather District"
"10129.3","THIS place was TERRIBLE and DOES not meet minimum cleanliness standards.

Joshua was not upfront that there are 5 other people leaving in that APT. Also he did not tell me that he does not live there any more. Basically he was subletting the place and I was not informed of this. 

The place is really Dark and very badly maintained by these 2o year old college kids. There was one bathroom used by all the five 5 roommates and it was nasty as hell. The other bathroom was on a different floor and the plumbing was broken. The bathrooms were not cleaned for months, as I could see rolls or used toilet paper and empty shampoo bottles with sticky floor. 

Since Joshua doe not live there and was a surprise for me, I was not comfortable staying with these people, and compete for the nastiest bathroom. I tried tried taking the shower and the water would not drain and my whole body started itching for the whole day with red rashes. 

I basically vacated the place without staying for a night, even though I reserved for 2 weeks.

I do not recommend this place for any one as this does not meet the cleanness standards or a place you would have to pay so much. Description does not meet what I say there.

Worst part the kitchen and the washing room were so dark and nasty with lots of Trash from almost 3 months lying all over the APT. I could even smell POT all over the place. There were cigarette buds 100's of them all over the APT, bathroom, kitchen etc.
","Mission Hill"
"15787","Terrible room.
Don't go there...","Mission Hill"
"39612","The house is located in a nice neighborhood close to numerous bars and restaurants. The place is seperated from the rest of the house and has a private entrance. Everything was clean and tidy up. Ceilings are low and most of the space is taken up by furniture. For us it was perfectly fine but I can imagine that people with claustrophobic tendencies might not feel at ease. The hosts are very helpful and friendly.","Mission Hill"
"15727.1","We stayed 3 nights at the studio and there are so many things to say..
this studio does not meet basic standards of cleanliness and safety, Airbnb should not allow to rent such a place. The low price can not justify it! That was easy to get the keys, probably the only good point of this Airbnb (with the location, close to subway station). The rest was UNACCEPTABLE, and we contacted Airbnb to let them know, the pictures were taken probably many years ago, and the flat is not like in the pics. It was dirty, and mostly NOT safe. Even for the """"price"""" that is ok, this is not possible to rent a flat like that !!!  I took a lot of pictures that I am going to send to Airbnb to prevent this flat. 

MAIN ROOM: 
- 1st day, we saw a cockroach on the floor (even if the building is old), that is not possible !!
- wall lamp in the room is broken (not like in the picture). 
- the studio is old but the main problem is the level of disrepair, dirtiness (water splash on the door of the bathroom), and safety (electrical outlet where it's written """"do not unplug"""" , why ??) 
- I m not going to detail everything (old computer on the floor that takes place for nothing, foam insulation on the wall, etc)
- kitchen and bath are dirty and outdated 
- ceiling lamp with visible wires (very dangerous!) 
- the fridge was not emptied by previous renters 

Bathroom:
- broken ventilation in the bathroom is very dusty but still works (really unsafe)
- there is some mold on the bathroom's ceinling and some sanitary napkins to contain it !!! (this is more than dirty !!!)

For sure we were expecting a small and basic studio (as the pictures are showing) but not such an unhealthy place. This is unacceptable 
Pierre","Mission Hill"
"13217","Matt was great and super accomodating. He allowed us to drop off luggage early so that my parents could come watch the end of the Boston marathon. The apartment was in a nice area with restaurants and shops within walking distance.","Leather District"
"16512","Nicolas was incredibly responsive which at a time when the entire city seemed to be booked for the night provided a huge amount of comfort. I generally waited less than 3 minutes to receive an answer to any inquiry. The condo was exactly as pictured, perfectly located for my trip, and very easy to check-in and out of. Three of us stayed there and while I did not personally sleep on the sleeper sofa the report I got in the morning was that the quality of the bed's comfort was exceptional. This is a high end property with a fantastic host. As a first time Airbnb user I happily left Boston as new customer.  Nicolas' condo is great for an overnight business trip and imagine it would provide a special home-away-from-home for any extended stay. ","Leather District"
"15602","Sean was a very accommodating host. He worked very hard to make my stay enjoyable. As you might have read in other reviews, the apartment had a case of the bed bugs, which are VERY difficult to get rid of. I arrived early and Sean was in the apartment with the bed apart and steaming everything (the best way to get rid of them). I'm happy to say that in my 4-night stay, I saw no bed bugs anywhere. Yes, the apartment is small. But as others noted, you are probably going to be out all day and just need a place to sleep. Therefore, it didn't bother me. The room wasn't spotless, but it was as clean enough. It's kind of like what you'd expect if you crashed at a friend's dorm room. The location is nice: you are about 30 seconds from the Fenwood Rd Green Line stop. My only real gripes were that the wireless connection was slow and the bathroom faucet leaked. Otherwise, I enjoyed my stay considering the price.","Mission Hill"
"15581","Please read this review before you consider booking this place! Also please note that I am yet to leave a bad review on yelp. My partner and I have been travelling with airbnb stops for about the last 4 months and are not at all fussy travellers. 
The apartment is not what it seems when you book it.
Pictures-
The pictures on the site do not clearly represent the apartment. The photos are spaciously deceptive and do not  give a true representation of what we found when we arrived. There is not room for one person to be comfortable here let alone two travellers with suitcases. The pictures did not show how two people would have to sleep - with one on a mattress on the floor. The pictures also do not portray the state of the apartment - the kitchen and bathroom were both not in the condition in which we found the place.


Cleanliness-
The place was not acceptable to live in. It was disgusting. The bathroom tiles are filed with mould and rust and dust. The floors are all covered with dust and look like the place has never seen a broom before. I could never allow for a places would stay in to get like that let alone to leave it in such a state and have the nerve to let someone else stay there. It is an embarrassment to do such a thing. The kitchen was also disgusting and left uncleaned from when it was last used. It was in such a state that we did not feel comfortable to use the facilities. 

Overall it was a disgusting place to stay in where we can barely fit ourselves in let alone all of our luggage. I definitely do NOT recommend for anyone to stay here. We payed an outrageous price to stay in such a place - one of our most expensive stops on our trip and with out a doubt the worst. ","Mission Hill"
"28706","Jazz made us very welcomed and was very hospitable and helpful to all of our questions.  The place was In a great location and gorgeous loft","Leather District"
"28667","Jazz made my experience of Boston even better. She is very knowledgeable of the city and immensely accommodating. She has a ton of great recommendations for dining, night life, etc. The loft itself is kept very clean; it feels like a hotel. If you're traveling to Boston, I would recommend staying here.","Leather District"
"28679","From beginning to the end Jazz made us feel very much at home. The apartment is located in a highly accessible part of the city with easy access to many landmarks and mass transit stations. As described, the room is well maintained, the apartment is contemporary and clean and the host did an amazing job making us feel welcomed. ","Leather District"
"28622","Jazz is a phenomenal host: ultra responsive, flexible & generous.  From water at bedside to coffee, her loft offered a hotel-like experience at proximity to the waterfront / financial district.  

I wish all hosts could learn from Jazz and her responsiveness via Airbnb messaging and text.  She's an accomplished person I look forward to someday reunioning with in SF.","Leather District"
"28532","This is a beautiful apartment. My boyfriend, Eric, his dad and I stayed at the apartment for the weekend of Father's Day. We went to a Redsox game. The apartment is very spacious and interesting.  It gets lots of sunlight and was a lovely spot to hang out in.  Eric's dad is older and it was wonderful to have the apartment to rest in between outings and still be social.  The apartment added a great deal to our experience and was a comfortable space for Eric's dad. The location is terrific with some nice restaurants around. It is right next to South Station which makes it very easy to get anywhere in Boston.

Joe and Colleen were excellent hosts. Joe met us and showed us around the apartment and took us to a great neighborhood diner right down the block. He was very generous with his time. Colleen checked in with us several times during our stay to make sure we had everything we needed. 
I think the price is spot on - if we had stayed at a hotel and rented 2 rooms for 2 nights at a hotel it would have cost a lot more .
Guest's should be aware that the apartment is a 3rd floor walk up.


","Leather District"
"28623","The reservation was canceled 7 days before arrival. This is an automated posting.","Leather District"
"15557","The suite is conveniently located for visits in Boston. There is quite a bit of noise from the nearby major street with street cars, busses and traffic. I wouldn't recommend it to light sleepers like myself. Even with earplugs, I woke up several times during the nights. It is a really small space, good enough to sleep in, but not great to spend any extra time.","Mission Hill"
"15733","I had a very poor experience with the apartment and the host. This listing has great reviews, so perhaps the host was a bit off of his game. Whatever the case, here's my experience: 

The apartment: The photos on airbnb show an inviting and clean if not small studio. In person, I found a cluttered room that had clearly not been cleaned in some time. There were food crumbs on the floor, and the bed unmade with apparently dirty sheets. 

The host: Sean initially confirmed the reservation very quickly, but when I needed information about getting the key and checking in, I couldn't get a response. I finally made contact mid afternoon of the day of my reservation. When I was finally able to drop off my luggage, I had no time to track down Sean to find out why the apartment was in poor condition. I didn't stay the night and had to find other accommodation. 

Sean was defensive and unprofessional when I confronted him via email. He refused to offer a refund. Luckily a Airbnb representative was able to intervene. Ironically, Sean was very quick to write up my review, even before I had a chance to formally ask for a refund.  So, at least you can be assured Sean can be responsive when he feels motivated.","Mission Hill"
"28710","What a great stay! Jazz was such a warm and welcoming host. The apartment is incredible and immaculately clean. Jazz made sure I was comfortable within her home and provided me with clean towels, toiletries, and water for my stay. She also had coffee/tea and English 
Muffins on hand for me in the morning. Her apartment is conveniently located just a few blocks from South Station. I will be staying here again!","Leather District"
"882","I never met Sean. I was only in touch with him through Phone and text messaging.  The place is a good location, a bed, and a tiny tiny bathroom and shower.  Everything about this listing is cheap cheap cheap.  The blinds on the windows fall as soon as you touch them, the bed was assembled with plywood, and the mattress has very little spring in it.  The cups and dishes were covered in dust and there was no obvious sponge to clean them, so I just ate out or bought prepared food.  He did leave me linens and towels.  Also, the window doesn't close well so it can get quite cold in the winter when I visited.  Nothing unsafe or dishonest about this apartment just definitely not luxury.","Mission Hill"
"15729","Communication with Sean was very good and helpful, we did not have any problems to find the apartment and get into it. The Apartment itself was disappointing: extremely small and run down and somewhat shabby, especially the bathroom. Bed is very uncomfortable and too small for two. The photos are very well made... And one needs earplugs as the busy street is very close and the neighbourhood is loud.
Good: Towels, conveniently located and the breakfast place around the corner.","Mission Hill"
"15594","Sean's apartment was lovely and quaint. 
It's a but rough around the edges but its got style and, most importantly, amenity on its side. 

It's right near the T that goes right into town and right past Symphony Hall (which was a big plus for me).

I enjoyed having my own space for a reasonable price. Sean was most helpful and accommodating. 

There was quite a bit of noise from the trams in the morning and the general building its self. But I recall being warned about that. 

Overall it's a good place to stay. I'd do it again. ","Mission Hill"
"15637.1","We spent a night in this room on 25 Aug 2013 (sorry we could not report earlier), and we were bitten by BED BUGS (more than 30 bites in total on various body parts), so they are NOT gone. 

Unless the owner can guarantee that the flat has been professionally sanitized (replacing the mattress is not sufficient), I would absolutely AVOID this place for the moment. We had to wash/dry/isolate all clothes and deal with ugly bites on a holiday trip... not funny. 

Apart from that the room is small (as expected) and rather dirty (not acceptable). The location is good, very close to public transport.","Mission Hill"
